District,Taluk,Village,Zone,Crop,Crop_Variety_Examples,Season,Sowing_Month,Duration_Category,Crop_Duration_Days,Estimated_Harvest_Month,Notes,Source,Source_Year
Thanjavur,,,Cauvery Delta Zone,Rice (Paddy),"ADT 53, CO 51, ADT 43, ASD 16, TKM 9",Kuruvai,Jun,Short,108,Oct (estimated),"Sowing month/season and variety duration are as published; harvest month is this script's estimate (sowing + duration), not stated verbatim in the source. Taluk/Village not given at this granularity in the source guide.",TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Thanjavur,,,Cauvery Delta Zone,Rice (Paddy),"CR 1009 Sub1, ADT 50, ADT 51, TRY 3",Samba,Aug,Long,155,Jan (estimated),"Sowing month/season and variety duration are as published; harvest month is this script's estimate (sowing + duration), not stated verbatim in the source. Taluk/Village not given at this granularity in the source guide.",TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Thanjavur,,,Cauvery Delta Zone,Rice (Paddy),"VGD 1, TKM 13, CO 52, Imp. White Ponni, ADT 39",Late Samba/Thaladi,Sep,Medium,132,Jan (estimated),"Sowing month/season and variety duration are as published; harvest month is this script's estimate (sowing + duration), not stated verbatim in the source. Taluk/Village not given at this granularity in the source guide.",TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Thanjavur,,,Cauvery Delta Zone,Rice (Paddy),"ADT 53, CO 51, MDU 6, ADT 36, ADT 37",Navarai,Dec,Short,108,Apr (estimated),"Sowing month/season and variety duration are as published; harvest month is this script's estimate (sowing + duration), not stated verbatim in the source. Taluk/Village not given at this granularity in the source guide.",TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Nagapattinam,,,Cauvery Delta Zone,Rice (Paddy),"ADT(R)48, MDU 5, CO 51, ADT 53",Late Kuruvai,Jul,Short,108,Nov (estimated),"Sowing month/season and variety duration are as published; harvest month is this script's estimate (sowing + duration), not stated verbatim in the source. Taluk/Village not given at this granularity in the source guide.",TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Nagapattinam,,,Cauvery Delta Zone,Rice (Paddy),"CR 1009 Sub1, ADT 50, ADT 51, CR 1009",Samba,Aug,Long,152,Jan (estimated),"Sowing month/season and variety duration are as published; harvest month is this script's estimate (sowing + duration), not stated verbatim in the source. Taluk/Village not given at this granularity in the source guide.",TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Coimbatore,,,Western Zone,Rice (Paddy),"ADT 53, CO 51, ADT 43, ASD 16",Kar,May,Short,108,Sep (estimated),"Sowing month/season and variety duration are as published; harvest month is this script's estimate (sowing + duration), not stated verbatim in the source. Taluk/Village not given at this granularity in the source guide.",TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Coimbatore,,,Western Zone,Rice (Paddy),"CO 52, TKM 13, VGD 1, CO 43, Imp. White Ponni",Samba/Late Samba,Aug,Medium,132,Dec (estimated),"Sowing month/season and variety duration are as published; harvest month is this script's estimate (sowing + duration), not stated verbatim in the source. Taluk/Village not given at this granularity in the source guide.",TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Coimbatore,,,Western Zone,Rice (Paddy),"ADT 53, CO 51, MDU 6, ADT 36, ADT 37",Navarai,Dec,Short,108,Apr (estimated),"Sowing month/season and variety duration are as published; harvest month is this script's estimate (sowing + duration), not stated verbatim in the source. Taluk/Village not given at this granularity in the source guide.",TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Kanchipuram,,,North Eastern Zone,Rice (Paddy),"ADT 53, CO 51, ADT 43, ADT 36, ASD 16",Sornavari,Apr,Short,108,Aug (estimated),"Sowing month/season and variety duration are as published; harvest month is this script's estimate (sowing + duration), not stated verbatim in the source. Taluk/Village not given at this granularity in the source guide.",TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Kanchipuram,,,North Eastern Zone,Rice (Paddy),"VGD 1, TKM 13, CO 52, CO(R)50, Hybrid CO 4",Samba/Late Samba,Aug,Medium,132,Dec (estimated),"Sowing month/season and variety duration are as published; harvest month is this script's estimate (sowing + duration), not stated verbatim in the source. Taluk/Village not given at this granularity in the source guide.",TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Kanchipuram,,,North Eastern Zone,Rice (Paddy),"ADT 53, CO 51, MDU 6, ADT 36, ADT 37",Navarai,Dec,Short,108,Apr (estimated),"Sowing month/season and variety duration are as published; harvest month is this script's estimate (sowing + duration), not stated verbatim in the source. Taluk/Village not given at this granularity in the source guide.",TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Madurai,,,Southern Zone,Rice (Paddy),"MDU 6, CO 51, ADT 53, ASD 16, MDU 5",Kar,May,Short,108,Sep (estimated),"Sowing month/season and variety duration are as published; harvest month is this script's estimate (sowing + duration), not stated verbatim in the source. Taluk/Village not given at this granularity in the source guide.",TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Madurai,,,Southern Zone,Rice (Paddy),"VGD 1, TKM 13, CO 52, CO(R)50, Hybrid CO 4",Samba/Late Samba,Aug,Medium,132,Dec (estimated),"Sowing month/season and variety duration are as published; harvest month is this script's estimate (sowing + duration), not stated verbatim in the source. Taluk/Village not given at this granularity in the source guide.",TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
Madurai,,,Southern Zone,Rice (Paddy),"MDU 6, CO 51, ADT 53, ADT 36, ADT 37",Navarai,Dec,Short,108,Apr (estimated),"Sowing month/season and variety duration are as published; harvest month is this script's estimate (sowing + duration), not stated verbatim in the source. Taluk/Village not given at this granularity in the source guide.",TNAU / TN Agriculture Dept Crop Production Guide - Rice,2022-23 (guide revision; varietal data as published)
